,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Alabama,SEC,East,1.0,0.0,1.0,0.0,34.0,19.0,15.0,217.0,669.0,0.324364723467862,523.0,778.0,0.672236503856041,1234.0,1227.0,7.0,341.0,426.0,481.0,0.89,4.0,4.0,4.0,2460.0,72.4,2379.0,70.0,81.0,2.4
1,Arizona,Pac-12,South,0.0,1.0,0.0,1.0,34.0,27.0,7.0,235.0,624.0,0.376602564102564,555.0,730.0,0.76027397260274,1246.0,986.0,260.0,341.0,518.0,418.0,1.24,68.0,0.0,1.0,2750.0,80.9,2420.0,71.2,330.0,9.7
2,Arizona St.,Pac-12,Midwest,1.0,0.0,0.0,0.0,31.0,20.0,11.0,277.0,761.0,0.363994743758213,578.0,783.0,0.738186462324393,1092.0,1134.0,-42.0,307.0,439.0,332.0,1.32,80.0,2.0,2.0,2589.0,83.5,2335.0,75.3,254.0,8.2
3,Arkansas,SEC,East,0.0,0.0,0.0,1.0,34.0,23.0,11.0,265.0,661.0,0.400907715582451,522.0,770.0,0.677922077922078,1182.0,1218.0,-36.0,346.0,492.0,374.0,1.32,42.0,2.0,5.0,2757.0,81.1,2568.0,75.5,189.0,5.6
4,Auburn,SEC,Midwest,0.0,0.0,1.0,0.0,32.0,25.0,7.0,312.0,852.0,0.366197183098592,620.0,789.0,0.785804816223067,1221.0,1114.0,107.0,388.0,462.0,392.0,1.18,55.0,2.0,0.0,2668.0,83.4,2346.0,73.3,322.0,10.1
5,Bucknell,Patriot,Midwest,1.0,1.0,0.0,1.0,34.0,25.0,9.0,269.0,784.0,0.343112244897959,606.0,844.0,0.718009478672986,1253.0,1200.0,53.0,318.0,492.0,429.0,1.15,238.0,0.0,1.0,2759.0,81.1,2477.0,72.9,282.0,8.3
6,Buffalo,MAC,South,1.0,1.0,1.0,0.0,34.0,26.0,8.0,329.0,887.0,0.370913190529876,464.0,666.0,0.696696696696697,1326.0,1240.0,86.0,408.0,576.0,426.0,1.35,74.0,0.0,2.0,2883.0,84.8,2579.0,75.9,304.0,8.9
7,Butler,Big East,East,1.0,0.0,1.0,1.0,33.0,20.0,13.0,270.0,759.0,0.355731225296443,413.0,536.0,0.770522388059702,1122.0,1079.0,43.0,304.0,462.0,369.0,1.25,21.0,2.0,5.0,2611.0,79.1,2402.0,72.8,209.0,6.3
8,Cal St. Fullerton,Big West,East,1.0,1.0,0.0,0.0,31.0,20.0,11.0,163.0,482.0,0.338174273858921,535.0,729.0,0.733882030178326,1089.0,1030.0,59.0,275.0,396.0,438.0,0.9,243.0,0.0,0.0,2270.0,73.2,2171.0,70.0,99.0,3.2
9,Cincinnati,AAC,South,0.0,1.0,1.0,1.0,33.0,29.0,4.0,244.0,681.0,0.358296622613803,486.0,706.0,0.688385269121813,1290.0,1044.0,246.0,435.0,535.0,377.0,1.42,66.0,3.0,3.0,2476.0,75.0,1888.0,57.2,588.0,17.8
10,Clemson,ACC,Midwest,0.0,0.0,2.0,0.0,32.0,23.0,9.0,266.0,726.0,0.366391184573003,461.0,609.0,0.756978653530378,1135.0,1069.0,66.0,287.0,422.0,387.0,1.09,12.0,2.0,4.0,2345.0,73.3,2106.0,65.8,239.0,7.5
11,Col. Of Charleston,CAA,Midwest,1.0,1.0,0.0,0.0,33.0,26.0,7.0,254.0,698.0,0.363896848137536,520.0,685.0,0.759124087591241,1089.0,1113.0,-24.0,280.0,377.0,318.0,1.19,244.0,0.0,2.0,2478.0,75.1,2269.0,68.8,209.0,6.3
12,Creighton,Big East,South,0.0,0.0,0.0,1.0,32.0,21.0,11.0,334.0,889.0,0.37570303712036,393.0,526.0,0.747148288973384,1161.0,1126.0,35.0,232.0,576.0,358.0,1.61,57.0,1.0,4.0,2697.0,84.3,2375.0,74.2,322.0,10.1
13,Davidson,Atlantic 10,South,1.0,1.0,0.0,0.0,31.0,20.0,11.0,336.0,856.0,0.392523364485981,340.0,428.0,0.794392523364486,1018.0,969.0,49.0,215.0,530.0,294.0,1.8,100.0,3.0,5.0,2388.0,77.0,2105.0,67.9,283.0,9.1
14,Duke,ACC,Midwest,0.0,0.0,3.0,1.0,33.0,26.0,7.0,274.0,725.0,0.377931034482759,505.0,713.0,0.708274894810659,1382.0,1080.0,302.0,447.0,578.0,416.0,1.39,17.0,3.0,3.0,2795.0,84.7,2297.0,69.6,498.0,15.1
15,Florida,SEC,East,0.0,0.0,1.0,1.0,32.0,20.0,12.0,292.0,778.0,0.375321336760925,460.0,640.0,0.71875,1124.0,1194.0,-70.0,345.0,415.0,314.0,1.32,29.0,5.0,3.0,2434.0,76.1,2222.0,69.4,212.0,6.6
16,Florida St.,ACC,West,1.0,0.0,3.0,1.0,31.0,20.0,11.0,248.0,706.0,0.351274787535411,473.0,691.0,0.68451519536903,1179.0,1083.0,96.0,363.0,473.0,403.0,1.17,87.0,2.0,3.0,2533.0,81.7,2309.0,74.5,224.0,7.2
17,Georgia St.,Sun Belt,South,1.0,1.0,0.0,0.0,33.0,23.0,10.0,307.0,795.0,0.386163522012579,398.0,592.0,0.672297297297297,1125.0,1207.0,-82.0,295.0,443.0,378.0,1.17,294.0,0.0,0.0,2487.0,75.4,2227.0,67.5,260.0,7.9
18,Gonzaga,WCC,West,0.0,1.0,2.0,1.0,34.0,30.0,4.0,309.0,826.0,0.37409200968523,466.0,645.0,0.722480620155039,1357.0,1051.0,306.0,376.0,535.0,384.0,1.39,151.0,1.0,1.0,2873.0,84.5,2282.0,67.1,591.0,17.4
19,Houston,AAC,West,0.0,0.0,1.0,0.0,32.0,26.0,6.0,278.0,714.0,0.389355742296919,440.0,616.0,0.714285714285714,1244.0,1011.0,233.0,382.0,480.0,389.0,1.23,93.0,3.0,2.0,2500.0,78.1,2086.0,65.2,414.0,12.9
20,Iona,MAAC,Midwest,1.0,1.0,0.0,1.0,33.0,20.0,13.0,319.0,822.0,0.388077858880779,452.0,612.0,0.738562091503268,1116.0,1242.0,-126.0,281.0,526.0,385.0,1.37,163.0,0.0,1.0,2633.0,79.8,2513.0,76.2,120.0,3.6
21,Kansas,Big 12,Midwest,0.0,1.0,4.0,1.0,34.0,27.0,7.0,345.0,857.0,0.402567094515753,378.0,540.0,0.7,1197.0,1195.0,2.0,325.0,578.0,397.0,1.46,3.0,4.0,1.0,2771.0,81.5,2410.0,70.9,361.0,10.6
22,Kansas St.,Big 12,South,1.0,0.0,3.0,1.0,33.0,22.0,11.0,229.0,666.0,0.343843843843844,451.0,607.0,0.742998352553542,1009.0,1114.0,-105.0,270.0,473.0,378.0,1.25,89.0,2.0,6.0,2388.0,72.4,2240.0,67.9,148.0,4.5
23,Kentucky,SEC,South,0.0,1.0,2.0,1.0,33.0,23.0,10.0,178.0,497.0,0.358148893360161,564.0,814.0,0.692874692874693,1280.0,1118.0,162.0,400.0,447.0,433.0,1.03,6.0,0.0,4.0,2532.0,76.7,2318.0,70.2,214.0,6.5
24,Lipscomb,ASUN,West,1.0,1.0,0.0,0.0,32.0,23.0,9.0,260.0,785.0,0.331210191082803,580.0,811.0,0.715166461159063,1247.0,1125.0,122.0,340.0,503.0,480.0,1.05,251.0,0.0,2.0,2642.0,82.6,2480.0,77.5,162.0,5.1
25,LIU Brooklyn,NEC,East,1.0,1.0,0.0,0.0,34.0,18.0,16.0,272.0,789.0,0.344740177439797,531.0,763.0,0.695937090432503,1295.0,1237.0,58.0,364.0,429.0,481.0,0.89,316.0,0.0,0.0,2635.0,77.5,2603.0,76.6,32.0,0.9
26,Loyola Chicago,MVC,South,1.0,1.0,4.0,0.0,33.0,28.0,5.0,246.0,618.0,0.398058252427184,406.0,561.0,0.723707664884136,1067.0,1013.0,54.0,209.0,520.0,404.0,1.29,158.0,0.0,0.0,2390.0,72.4,2054.0,62.2,336.0,10.2
27,Marshall,C-USA,East,1.0,1.0,1.0,0.0,34.0,24.0,10.0,341.0,963.0,0.354101765316719,540.0,704.0,0.767045454545455,1232.0,1383.0,-151.0,276.0,586.0,449.0,1.31,176.0,0.0,1.0,2865.0,84.3,2680.0,78.8,185.0,5.4
28,Miami,ACC,South,0.0,0.0,0.0,0.0,31.0,22.0,9.0,243.0,669.0,0.36322869955157,368.0,539.0,0.682745825602968,1209.0,1149.0,60.0,332.0,413.0,351.0,1.18,49.0,1.0,4.0,2297.0,74.1,2107.0,68.0,190.0,6.1
29,Michigan,Big Ten,West,0.0,1.0,5.0,1.0,35.0,28.0,7.0,320.0,868.0,0.368663594470046,400.0,607.0,0.658978583196046,1166.0,1141.0,25.0,300.0,518.0,320.0,1.62,61.0,4.0,4.0,2606.0,74.5,2224.0,63.5,382.0,10.9
30,Michigan St.,Big Ten,Midwest,0.0,0.0,1.0,1.0,33.0,29.0,4.0,277.0,671.0,0.412816691505216,509.0,678.0,0.750737463126844,1348.0,1005.0,343.0,365.0,638.0,435.0,1.47,112.0,2.0,4.0,2672.0,81.0,2138.0,64.8,534.0,16.2
31,Missouri,SEC,West,0.0,0.0,0.0,0.0,32.0,20.0,12.0,298.0,775.0,0.384516129032258,491.0,667.0,0.736131934032983,1185.0,1043.0,142.0,327.0,435.0,452.0,0.96,39.0,2.0,2.0,2345.0,73.3,2179.0,68.1,166.0,5.2
