,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Quad 1 Wins,Quad 1 Losses,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game
0,Baylor,B12,South,0.0,0.0,6.0,1.0,23.0,22.0,1.0,248.0,593.0,0.418000013,285.0,409.0,0.697000027,875.0,769.0,106.0,309.0,409.0,298.0,1.372483253,68.0,8.0,2.0,2025.0,84.375,1594.0,66.41666412,431.0,17.95833397
1,Colgate,Pat,South,1.0,1.0,0.0,1.0,14.0,14.0,0.0,136.0,338.0,0.40200001,215.0,294.0,0.731000006,596.0,523.0,73.0,144.0,262.0,151.0,1.735099316,332.0,0.0,0.0,1295.0,86.33333588,1029.0,68.59999847,266.0,17.73333359
2,Liberty,ASun,Midwest,1.0,1.0,0.0,1.0,27.0,23.0,4.0,289.0,740.0,0.391000003,286.0,368.0,0.77700001,934.0,829.0,105.0,198.0,446.0,271.0,1.645756483,298.0,0.0,0.0,2097.0,74.89286041,1670.0,59.6428566,427.0,15.25
3,Florida St.,ACC,East,0.0,0.0,2.0,1.0,21.0,16.0,5.0,181.0,464.0,0.389999986,315.0,427.0,0.737999976,822.0,722.0,100.0,255.0,322.0,315.0,1.022222281,48.0,3.0,4.0,1736.0,78.90908813,1547.0,70.3181839,189.0,8.590909004
4,Oral Roberts,Sum,South,1.0,1.0,2.0,0.0,25.0,16.0,9.0,294.0,753.0,0.389999986,364.0,442.0,0.824000001,915.0,1013.0,-98.0,219.0,329.0,299.0,1.100334406,165.0,0.0,0.0,2126.0,81.7692337,1970.0,75.7692337,156.0,6.0
5,Michigan,B10,East,0.0,0.0,3.0,1.0,24.0,20.0,4.0,181.0,468.0,0.387,311.0,400.0,0.778,899.0,751.0,148.0,219.0,371.0,266.0,1.394737,20.0,8.0,3.0,1830.0,76.25,1569.0,65.375,261.0,10.875
6,Iowa,B10,West,0.0,0.0,1.0,1.0,28.0,21.0,7.0,283.0,733.0,0.386000007,420.0,589.0,0.713,1164.0,1075.0,89.0,328.0,555.0,276.0,2.010869503,14.0,8.0,6.0,2429.0,83.75862122,2086.0,71.9310379,343.0,11.82758617
7,Virginia,ACC,West,0.0,0.0,0.0,1.0,23.0,18.0,5.0,204.0,535.0,0.381000012,227.0,278.0,0.816999972,762.0,700.0,62.0,157.0,335.0,226.0,1.482300878,46.0,5.0,4.0,1647.0,68.625,1451.0,60.45833206,196.0,8.166666985
8,Oregon,P12,West,0.0,0.0,2.0,1.0,25.0,20.0,5.0,218.0,575.0,0.379000008,286.0,406.0,0.703999996,859.0,834.0,25.0,238.0,349.0,297.0,1.175084233,77.0,2.0,3.0,1934.0,74.38461304,1753.0,67.42308044,181.0,6.961538315
9,BYU,WCC,East,0.0,0.0,0.0,0.0,26.0,20.0,6.0,233.0,616.0,0.378,312.0,427.0,0.731,1024.0,846.0,178.0,247.0,431.0,346.0,1.245665,80.0,3.0,4.0,2047.0,78.73077,1780.0,68.46154,267.0,10.26923
10,Illinois,B10,Midwest,0.0,1.0,1.0,0.0,28.0,23.0,5.0,197.0,524.0,0.375999987,462.0,669.0,0.690999985,1172.0,880.0,292.0,313.0,473.0,382.0,1.238219857,2.0,12.0,5.0,2361.0,81.41379547,2008.0,69.24137878,353.0,12.17241383
11,North Texas,CUSA,South,1.0,1.0,1.0,0.0,25.0,17.0,8.0,197.0,524.0,0.375999987,282.0,384.0,0.734000027,867.0,797.0,70.0,224.0,347.0,343.0,1.011661768,111.0,0.0,0.0,1815.0,69.80769348,1592.0,61.23077011,223.0,8.57692337
12,San Diego St.,MWC,Midwest,0.0,1.0,0.0,0.0,26.0,23.0,3.0,229.0,611.0,0.375,381.0,527.0,0.72299999,970.0,861.0,109.0,262.0,374.0,305.0,1.226229548,118.0,1.0,3.0,2000.0,74.07407379,1635.0,60.55555725,365.0,13.51851845
13,Drexel,CAA,Midwest,1.0,1.0,0.0,0.0,18.0,12.0,6.0,138.0,371.0,0.372000009,230.0,296.0,0.77700001,645.0,556.0,89.0,168.0,288.0,245.0,1.175510168,276.0,0.0,0.0,1358.0,71.47368622,1270.0,66.84210205,88.0,4.631578922
14,Drake,MVC,West,1.0,0.0,1.0,0.0,28.0,25.0,3.0,204.0,552.0,0.370000005,305.0,428.0,0.713,1043.0,897.0,146.0,300.0,399.0,299.0,1.334448218,190.0,1.0,2.0,2245.0,77.41379547,1875.0,64.65517426,370.0,12.75862026
15,Loyola Chicago,MVC,Midwest,0.0,1.0,2.0,0.0,27.0,24.0,3.0,201.0,546.0,0.368000001,331.0,458.0,0.72299999,914.0,775.0,139.0,201.0,442.0,334.0,1.323353291,160.0,2.0,2.0,2002.0,71.5,1555.0,55.5357132,447.0,15.96428585
16,Norfolk St.,MEAC,West,1.0,1.0,1.0,0.0,22.0,16.0,6.0,180.0,489.0,0.368000001,368.0,521.0,0.70599997,850.0,831.0,19.0,239.0,282.0,301.0,0.936877072,339.0,0.0,0.0,1730.0,75.21739197,1591.0,69.17391205,139.0,6.043478489
17,Colorado,P12,East,0.0,0.0,0.0,0.0,29.0,22.0,7.0,224.0,611.0,0.367000014,419.0,510.0,0.822000027,1050.0,923.0,127.0,296.0,397.0,333.0,1.192192197,72.0,3.0,4.0,2191.0,73.03333282,1898.0,63.26666641,293.0,9.766666412
