,Team,Conference,Region,Cinderella,Conference Tournament Champion,Number of Tournament Wins,Made Tournament Previous Year,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Wins Against Top 25 RPI Teams,Losses Against Top 25 RPI Teams,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,Year,Quad 1 Wins,Quad 1 Losses
0,Albany (NY),America East,South,1.0,1.0,0.0,1.0,32.0,18.0,14.0,157.0,431.0,0.36426914153132295,520.0,695.0,0.7482014388489209,1106.0,1009.0,97.0,331.0,354.0,404.0,0.876237623762376,287.0,0.0,0.0,2113.0,66.0,2043.0,63.8,70.0,2.2,2014,,
1,American,Patriot,West,1.0,1.0,0.0,0.0,32.0,20.0,12.0,203.0,531.0,0.382297551789077,369.0,520.0,0.709615384615385,962.0,931.0,31.0,228.0,484.0,447.0,1.082774049217,234.0,0.0,1.0,2046.0,63.9,1876.0,58.6,170.0,5.3,2014,,
2,Arizona,Pac-12,West,0.0,0.0,3.0,1.0,34.0,30.0,4.0,180.0,505.0,0.35643564356435603,520.0,794.0,0.654911838790932,1322.0,1035.0,287.0,428.0,513.0,355.0,1.44507042253521,5.0,4.0,1.0,2484.0,73.1,1977.0,58.1,507.0,15.0,2014,,
3,Arizona St.,Pac-12,Midwest,1.0,0.0,0.0,0.0,32.0,21.0,11.0,260.0,673.0,0.38632986627043103,523.0,754.0,0.6936339522546421,1140.0,1221.0,-81.0,270.0,454.0,367.0,1.23705722070845,58.0,1.0,3.0,2401.0,75.0,2204.0,68.9,197.0,6.099999999999991,2014,,
4,Baylor,Big 12,West,0.0,0.0,2.0,0.0,35.0,24.0,11.0,265.0,679.0,0.390279823269514,579.0,860.0,0.6732558139534879,1354.0,1114.0,240.0,500.0,525.0,414.0,1.26811594202899,10.0,2.0,5.0,2632.0,75.2,2393.0,68.4,239.0,6.8,2014,,
5,BYU,West Coast,West,1.0,0.0,0.0,0.0,34.0,23.0,11.0,172.0,479.0,0.3590814196242171,707.0,1025.0,0.6897560975609761,1400.0,1216.0,184.0,451.0,530.0,386.0,1.37305699481865,17.0,1.0,5.0,2863.0,84.2,2619.0,77.0,244.0,7.2,2014,,
6,Cal Poly,Big West,Midwest,1.0,1.0,0.0,0.0,32.0,13.0,19.0,207.0,611.0,0.33878887070376396,390.0,563.0,0.692717584369449,1034.0,1077.0,-43.0,354.0,374.0,287.0,1.30313588850174,124.0,0.0,1.0,2023.0,63.2,2030.0,63.4,-7.0,-0.19999999999999601,2014,,
7,Cincinnati,AAC,East,0.0,0.0,0.0,1.0,33.0,27.0,6.0,192.0,573.0,0.335078534031414,508.0,717.0,0.708507670850767,1190.0,1045.0,145.0,441.0,420.0,366.0,1.14754098360656,74.0,2.0,4.0,2268.0,68.7,1925.0,58.3,343.0,10.4,2014,,
8,Coastal Caro.,Big South,East,1.0,1.0,0.0,0.0,33.0,21.0,12.0,203.0,609.0,0.33333333333333304,516.0,744.0,0.693548387096774,1308.0,1147.0,161.0,429.0,349.0,465.0,0.7505376344086021,291.0,0.0,0.0,2399.0,72.7,2256.0,68.4,143.0,4.3,2014,,
9,Colorado,Pac-12,South,0.0,0.0,0.0,1.0,34.0,23.0,11.0,177.0,553.0,0.32007233273056107,634.0,885.0,0.7163841807909599,1276.0,1065.0,211.0,394.0,392.0,449.0,0.873051224944321,13.0,1.0,5.0,2409.0,70.9,2310.0,67.9,99.0,3.0,2014,,
