,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
0,81.0,"[32, 32, 32]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
1,95.0,"[32, 32, 32]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
2,74.0,"[32, 32, 32]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
3,86.0,"[32, 32, 32]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
4,103.0,"[32, 32, 32]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
5,126.0,"[32, 32, 32]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
6,119.0,"[32, 32, 32]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
7,64.0,"[32, 32, 32]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
8,141.0,"[32, 32, 32]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
9,96.0,"[32, 32, 32]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
10,63.0,"[32, 32, 32]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
11,91.0,"[32, 32, 32]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
12,104.0,"[32, 32, 32]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
13,72.0,"[32, 32, 32]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
14,143.0,"[32, 32, 32]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
15,92.0,"[16, 32, 16]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
16,80.0,"[16, 32, 16]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
17,73.0,"[16, 32, 16]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
18,98.0,"[16, 32, 16]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
19,92.0,"[16, 32, 16]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
20,66.0,"[16, 32, 16]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
21,79.0,"[16, 32, 16]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
22,79.0,"[16, 32, 16]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
23,90.0,"[16, 32, 16]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
24,73.0,"[16, 32, 16]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
25,79.0,"[16, 32, 16]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
26,74.0,"[16, 32, 16]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
27,69.0,"[16, 32, 16]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
28,93.0,"[16, 32, 16]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
29,148.0,"[16, 32, 16]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
30,53.0,"[64, 32, 16]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
31,94.0,"[64, 32, 16]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
32,74.0,"[64, 32, 16]",100,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
33,78.0,"[64, 32, 16]",100,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
34,103.0,"[64, 32, 16]",100,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
35,80.0,"[64, 32, 16]",150,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
36,89.0,"[64, 32, 16]",150,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
37,81.0,"[64, 32, 16]",150,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
38,87.0,"[64, 32, 16]",150,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
39,90.0,"[64, 32, 16]",150,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
40,80.0,"[64, 32, 16]",200,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
41,94.0,"[64, 32, 16]",200,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
42,88.0,"[64, 32, 16]",200,0.01,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
43,81.0,"[64, 32, 16]",200,0.05,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
44,92.0,"[64, 32, 16]",200,0.0001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
45,78.0,"[16, 16, 16]",100,0.001,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
46,71.0,"[16, 16, 16]",100,0.002,0.5,0.5,0.5,3,4,5,6,sparse_categorical_crossentropy
