,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
0,123.0,"[32, 32, 32]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
1,163.0,"[32, 32, 32]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
2,106.0,"[32, 32, 32]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
3,126.0,"[32, 32, 32]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
4,141.0,"[32, 32, 32]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
5,119.0,"[32, 32, 32]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
6,103.0,"[32, 32, 32]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
7,62.0,"[32, 32, 32]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
8,184.0,"[32, 32, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
9,95.0,"[32, 32, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
10,161.0,"[32, 32, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
11,154.0,"[32, 32, 32]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
12,122.0,"[32, 32, 32]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
13,136.0,"[32, 32, 32]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
14,175.0,"[32, 32, 32]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
15,171.0,"[16, 32, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
16,146.0,"[16, 32, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
17,154.0,"[16, 32, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
18,176.0,"[16, 32, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
19,102.0,"[16, 32, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
20,132.0,"[16, 32, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
21,137.0,"[16, 32, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
22,106.0,"[16, 32, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
23,159.0,"[16, 32, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
24,111.0,"[16, 32, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
25,156.0,"[16, 32, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
26,111.0,"[16, 32, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
27,94.0,"[16, 32, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
28,166.0,"[16, 32, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
29,133.0,"[16, 32, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
30,122.0,"[64, 32, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
31,147.0,"[64, 32, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
32,131.0,"[64, 32, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
33,165.0,"[64, 32, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
34,109.0,"[64, 32, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
35,166.0,"[64, 32, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
36,121.0,"[64, 32, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
37,75.0,"[64, 32, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
38,124.0,"[64, 32, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
39,128.0,"[64, 32, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
40,113.0,"[64, 32, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
41,161.0,"[64, 32, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
42,89.0,"[64, 32, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
43,184.0,"[64, 32, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
44,123.0,"[64, 32, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
45,132.0,"[16, 16, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
46,135.0,"[16, 16, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
47,112.0,"[16, 16, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
48,160.0,"[16, 16, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
49,98.0,"[16, 16, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
50,140.0,"[16, 16, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
