,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
0,219.0,"[32, 32, 32]",100,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
1,241.0,"[32, 32, 32]",100,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
2,242.0,"[32, 32, 32]",100,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
3,210.0,"[32, 32, 32]",100,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
4,109.0,"[32, 32, 32]",100,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
5,242.0,"[32, 32, 32]",150,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
6,253.0,"[32, 32, 32]",150,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
7,248.0,"[32, 32, 32]",150,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
8,162.0,"[32, 32, 32]",150,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
9,169.0,"[32, 32, 32]",150,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
10,236.0,"[32, 32, 32]",200,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
11,253.0,"[32, 32, 32]",200,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
12,253.0,"[32, 32, 32]",200,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
13,185.0,"[32, 32, 32]",200,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
14,170.0,"[32, 32, 32]",200,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
15,179.0,"[16, 32, 16]",100,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
16,215.0,"[16, 32, 16]",100,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
17,237.0,"[16, 32, 16]",100,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
18,145.0,"[16, 32, 16]",100,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
19,137.0,"[16, 32, 16]",100,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
20,227.0,"[16, 32, 16]",150,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
21,211.0,"[16, 32, 16]",150,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
22,238.0,"[16, 32, 16]",150,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
23,181.0,"[16, 32, 16]",150,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
24,144.0,"[16, 32, 16]",150,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
25,231.0,"[16, 32, 16]",200,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
26,239.0,"[16, 32, 16]",200,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
27,236.0,"[16, 32, 16]",200,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
28,211.0,"[16, 32, 16]",200,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
29,165.0,"[16, 32, 16]",200,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
30,215.0,"[64, 32, 16]",100,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
31,248.0,"[64, 32, 16]",100,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
32,227.0,"[64, 32, 16]",100,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
33,104.0,"[64, 32, 16]",100,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
34,163.0,"[64, 32, 16]",100,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
35,238.0,"[64, 32, 16]",150,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
36,248.0,"[64, 32, 16]",150,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
37,249.0,"[64, 32, 16]",150,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
38,130.0,"[64, 32, 16]",150,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
39,186.0,"[64, 32, 16]",150,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
40,240.0,"[64, 32, 16]",200,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
41,253.0,"[64, 32, 16]",200,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
42,253.0,"[64, 32, 16]",200,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
43,162.0,"[64, 32, 16]",200,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
44,187.0,"[64, 32, 16]",200,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
45,228.0,"[16, 16, 16]",100,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
46,213.0,"[16, 16, 16]",100,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
47,190.0,"[16, 16, 16]",100,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
48,140.0,"[16, 16, 16]",100,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
49,132.0,"[16, 16, 16]",100,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
50,213.0,"[16, 16, 16]",150,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
51,238.0,"[16, 16, 16]",150,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
52,231.0,"[16, 16, 16]",150,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
53,166.0,"[16, 16, 16]",150,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
54,165.0,"[16, 16, 16]",150,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
55,203.0,"[16, 16, 16]",200,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
56,223.0,"[16, 16, 16]",200,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
57,250.0,"[16, 16, 16]",200,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
58,159.0,"[16, 16, 16]",200,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
59,153.0,"[16, 16, 16]",200,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
60,177.0,"[32, 32]",100,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
61,241.0,"[32, 32]",100,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
62,248.0,"[32, 32]",100,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
63,204.0,"[32, 32]",100,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
64,122.0,"[32, 32]",100,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
65,229.0,"[32, 32]",150,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
66,214.0,"[32, 32]",150,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
67,253.0,"[32, 32]",150,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
68,207.0,"[32, 32]",150,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
69,177.0,"[32, 32]",150,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
70,239.0,"[32, 32]",200,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
71,230.0,"[32, 32]",200,0.002,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
72,253.0,"[32, 32]",200,0.01,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
73,231.0,"[32, 32]",200,0.05,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
74,157.0,"[32, 32]",200,0.0001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
75,201.0,"[16, 16, 32]",100,0.001,0.5,0.5,0.5,2,2,3,3,sparse_categorical_crossentropy
