,score,layer_sizes,epochs,learning_rate,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,loss_fn
0,154.0,"[32, 32, 32]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
1,140.0,"[32, 32, 32]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
2,160.0,"[32, 32, 32]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
3,151.0,"[32, 32, 32]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
4,122.0,"[32, 32, 32]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
5,129.0,"[32, 32, 32]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
6,145.0,"[32, 32, 32]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
7,107.0,"[32, 32, 32]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
8,191.0,"[32, 32, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
9,151.0,"[32, 32, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
10,158.0,"[32, 32, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
11,154.0,"[32, 32, 32]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
12,105.0,"[32, 32, 32]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
13,175.0,"[32, 32, 32]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
14,155.0,"[32, 32, 32]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
15,162.0,"[16, 32, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
16,145.0,"[16, 32, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
17,124.0,"[16, 32, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
18,159.0,"[16, 32, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
19,72.0,"[16, 32, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
20,128.0,"[16, 32, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
21,89.0,"[16, 32, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
22,161.0,"[16, 32, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
23,187.0,"[16, 32, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
24,86.0,"[16, 32, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
25,182.0,"[16, 32, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
26,118.0,"[16, 32, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
27,159.0,"[16, 32, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
28,137.0,"[16, 32, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
29,112.0,"[16, 32, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
30,101.0,"[64, 32, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
31,101.0,"[64, 32, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
32,125.0,"[64, 32, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
33,131.0,"[64, 32, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
34,103.0,"[64, 32, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
35,159.0,"[64, 32, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
36,117.0,"[64, 32, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
37,65.0,"[64, 32, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
38,170.0,"[64, 32, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
39,156.0,"[64, 32, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
40,115.0,"[64, 32, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
41,152.0,"[64, 32, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
42,144.0,"[64, 32, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
43,145.0,"[64, 32, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
44,182.0,"[64, 32, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
45,74.0,"[16, 16, 16]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
46,100.0,"[16, 16, 16]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
47,145.0,"[16, 16, 16]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
48,131.0,"[16, 16, 16]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
49,151.0,"[16, 16, 16]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
50,167.0,"[16, 16, 16]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
51,131.0,"[16, 16, 16]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
52,148.0,"[16, 16, 16]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
53,177.0,"[16, 16, 16]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
54,139.0,"[16, 16, 16]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
55,175.0,"[16, 16, 16]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
56,144.0,"[16, 16, 16]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
57,173.0,"[16, 16, 16]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
58,140.0,"[16, 16, 16]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
59,141.0,"[16, 16, 16]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
60,68.0,"[32, 32]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
61,169.0,"[32, 32]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
62,116.0,"[32, 32]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
63,164.0,"[32, 32]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
64,150.0,"[32, 32]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
65,151.0,"[32, 32]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
66,146.0,"[32, 32]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
67,168.0,"[32, 32]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
68,195.0,"[32, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
69,119.0,"[32, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
70,150.0,"[32, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
71,155.0,"[32, 32]",200,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
72,134.0,"[32, 32]",200,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
73,142.0,"[32, 32]",200,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
74,153.0,"[32, 32]",200,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
75,142.0,"[16, 16, 32]",100,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
76,127.0,"[16, 16, 32]",100,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
77,143.0,"[16, 16, 32]",100,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
78,161.0,"[16, 16, 32]",100,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
79,98.0,"[16, 16, 32]",100,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
80,145.0,"[16, 16, 32]",150,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
81,143.0,"[16, 16, 32]",150,0.002,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
82,153.0,"[16, 16, 32]",150,0.01,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
83,176.0,"[16, 16, 32]",150,0.05,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
84,140.0,"[16, 16, 32]",150,0.0001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
85,158.0,"[16, 16, 32]",200,0.001,0.5,0.5,0.5,1,2,3,4,sparse_categorical_crossentropy
