,Cinderella,Number of Tournament Wins,Game Count,Wins,Losses,3-Pointers Made,3-Pointers Attempted,3-Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Rebounds,Opponent's Rebounds,Rebound Differential,Offensive Rebounds,Assists,Turnovers,Assist to Turnover Ratio,ESPN Strength of Schedule,Total Points,Average PPG,Total Opp Points,Average Opp PPG,Total Scoring Differential,Scoring Differential Per Game,optimalrank,Region_East,Region_Midwest,Region_South,Region_West,Wins vs Top Teams,Losses vs Top Teams
238,0.0,6.0,0.6746775986052851,0.9444271026417426,-0.4661164493862455,0.1604177229398801,0.12487591080002707,0.1956754265667104,0.6129327037426345,0.6523031907134688,-0.2290146989143078,2.284094051635218,-0.16330806666264314,3.0808087222739764,2.824141817429468,2.15604047575088,0.462578853101035,1.4580427239583464,-0.911012715664933,1.6748829576777016,1.8768287975708469,0.9866085166264381,0.6894623484127158,1.5333867567769333,1.3655199407606595,10,0,0,1,0,0.9858158200328497,0.36817301519748563
355,0.0,6.0,0.37214861911811237,1.442701004477011,-1.3597140274876847,0.2411544131902226,-0.07809609950004484,0.9756577657627504,0.5109234774088958,0.6680403796884367,-0.6091562157214024,0.49648162198088525,-0.31265494627498014,0.9926002876376414,0.8303340691702739,0.7122061559766805,-0.17350131616861758,0.7522427741693906,-0.940403528377559,0.8832928059855973,1.0268355049798932,0.08299441038958523,-0.30459736426332606,1.602604997207128,1.5241196784427953,10,0,0,1,0,1.7056457153373348,-0.4390512427221353
0,0.0,6.0,-2.653141175753615,-0.3012576519464283,-2.253311605589124,0.20078606806505134,-0.543240289771043,2.2484500190466408,-2.175319482712892,-2.054493312981001,-0.45451148732928853,-2.08723350913894,-2.3406283641688193,0.08587820417712744,-0.5184182311227107,-0.6776530490396052,-1.539202856071107,0.7162219663995351,-0.38197808683766465,-1.3310673099813026,1.7730505467312527,-2.0902547058762635,-0.14223478416731983,1.1526864344108627,2.194392523611584,10,0,0,1,0,1.5337718466079344,-0.5085840640239584
467,0.0,6.0,0.6746775986052851,0.6952901517241085,-0.1682505900190992,0.07968103268953762,-0.27261094270428043,1.0309031740826755,0.7489450055209529,0.34542800570159576,1.296257491122602,0.2866000006854373,0.9450029873025946,-0.7384145989687944,-0.01996629405791206,-0.4212712539395137,0.31291293091994027,-0.6845074610970306,-0.7150739642474262,0.12657446714336537,-0.6929183660762155,0.01436549092855842,-0.8016272206013456,0.2251620126462544,0.11937914468673436,10,1,0,0,0,0.2659859247283647,0.36817301519748563
68,0.0,6.0,0.06961963963093966,1.442701004477011,-1.6575798868548308,0.6650220370045206,0.048761406937500106,1.8827157685529499,-1.0078805591156594,-1.1810793248702856,0.9006274807735426,-0.40094324148930605,-0.9021821026394683,0.5438186503693062,-0.884927008376239,0.06450477888171238,-1.7075770185248385,1.825077114439249,-0.8914188405231823,-0.37557963789479776,-0.7126856519504253,-1.4497181242400135,-2.3921227608830127,1.886399782970926,1.9319475753397164,10,0,0,1,0,3.8651354012507895,-0.03543911376232485
197,0.0,6.0,0.6746775986052851,1.6918379553946452,-1.3597140274876847,3.026570226827038,2.6873975408384347,1.4558077877875144,-0.1691380314826961,-0.5594603603590556,1.5934902377718396,0.3372610816877868,0.3554758309381064,0.01260773278637884,-0.3718147202212993,1.454363983897998,-0.5289578813487176,1.8463150275311524,-0.8620280278105563,1.9294471914817704,2.3117090868034245,1.0209229763569516,0.7491059311732805,1.9763834955301791,1.7960049430407425,10,1,0,0,0,0.6259008723806072,-1.2462755006417563
324,0.0,6.0,0.6746775986052851,1.442701004477011,-1.0618481681205383,1.068705488256233,1.6048801525713847,-0.6939992440016196,0.44291732651973653,-0.04800171867260044,1.7540254179999613,0.3444983789738367,0.6305885039082009,-0.29879177062430273,-0.4304561245818639,1.211475967487385,-0.04254363426015969,1.096371310861513,-0.8522310902396809,0.7333440107311459,0.31521321350840015,0.09061984588525487,-0.6823400550802202,1.291122915271252,1.130952261499676,10,0,0,1,0,0.6259008723806072,0.36817301519748563
19,1.0,5.0,-2.0480832167792693,-1.5469424065345991,-0.1682505900190992,-1.3130268741288702,-1.5750146754630752,0.23238308181465434,-1.449920539895194,-1.4643487264197068,0.20715266995917872,-1.8339281041271922,-2.0969571395381643,0.12251343987250174,-1.2807564878100497,-1.4198108769609228,-1.6888687782522018,-0.006004550765149013,-0.4309627746920413,-1.7878880583146315,-0.5058895463638777,-1.3772764870311518,0.2719572690887793,-1.0484536112693272,-0.8897334969517814,9,1,0,0,0,-0.39764455282427935,0.7048796676823283
22,0.0,5.0,-1.7455542372920967,0.6952901517241085,-2.55117746495627,-0.9698959405649147,-1.160613487767095,0.15332107831537817,-0.5431718613730716,-0.6302777107464108,0.37256834398737576,-1.2838935103873974,-2.1283985878776037,0.8552181537799878,-1.3980392965311788,0.2264301231554544,-1.2211627714362807,1.375806003920095,-0.20563321056190853,-0.04081023453602234,3.303115565809876,-1.3162730030657945,0.3943041504055222,2.3086310495951134,3.3366881090957774,9,0,0,0,1,1.5337718466079344,-1.1153159298771018
69,0.0,5.0,0.06961963963093966,0.6952901517241085,-0.7639823087533919,-0.12216069293631858,-0.22186794012926245,0.25888252313824905,-0.4978344274469655,-0.5909347383089912,0.39272408910921885,-0.48055351163585525,-0.3047945841901203,-0.25299772600508486,-0.8995873594663802,-0.13790190146046513,0.2942046906473035,-0.4192386447809039,-0.5387290879716701,-0.236092386495308,-0.4557109355857197,-0.9350012282823124,-1.5571126022351383,1.228826498884077,1.2522344138448482,9,0,0,0,1,3.1453055059463044,0.771785144157296
